"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"1851","Paul Quinn College","Texas","TX","Private","4 Year",6000,8495,14495,8495,14495
"1852","Paul Smith's College","New York","NY","Private","4 Year",12240,28484,40724,28484,40724
"1853","Pearl River Community College","Mississippi","MS","Public","2 Year",4900,3500,8400,5898,10798
"1854","Peirce College","Pennsylvania","PA","Private","4 Year",NA,18660,18660,18660,18660
"1855","Pellissippi State Community College","Tennessee","TN","Public","2 Year",NA,4480,4480,13246,13246
"1856","Peninsula College","Washington","WA","Public","2 Year",NA,5023,5023,9852,9852
"1857","Penn Commercial Business and Technical School","Pennsylvania","PA","For Profit","2 Year",NA,11809,11809,11809,11809
"1858","Penn State Abington","Pennsylvania","PA","Public","4 Year",8100,14524,22624,23278,31378
"1859","Penn State Altoona","Pennsylvania","PA","Public","4 Year",11570,15198,26768,24450,36020
"1860","Penn State Beaver","Pennsylvania","PA","Public","4 Year",11570,13702,25272,21886,33456
"1861","Penn State Berks","Pennsylvania","PA","Public","4 Year",12730,15198,27928,24450,37180
"1862","Penn State Brandywine","Pennsylvania","PA","Public","4 Year",12180,14468,26648,23028,35208
"1863","Penn State DuBois","Pennsylvania","PA","Public","4 Year",NA,13702,13702,21886,21886
"1864","Penn State Erie, The Behrend College","Pennsylvania","PA","Public","4 Year",11570,15198,26768,24450,36020
"1865","Penn State Fayette, The Eberly Campus","Pennsylvania","PA","Public","4 Year",NA,13702,13702,21886,21886
"1866","Penn State Greater Allegheny","Pennsylvania","PA","Public","4 Year",11570,13702,25272,21886,33456
"1867","Penn State Harrisburg","Pennsylvania","PA","Public","4 Year",13280,15198,28478,24450,37730
"1868","Penn State Hazleton","Pennsylvania","PA","Public","4 Year",11570,14468,26038,23028,34598
"1869","Penn State Lehigh Valley","Pennsylvania","PA","Public","4 Year",NA,14468,14468,23028,23028
"1870","Penn State Mont Alto","Pennsylvania","PA","Public","4 Year",11570,13702,25272,21886,33456
"1871","Penn State New Kensington","Pennsylvania","PA","Public","4 Year",NA,13702,13702,21886,21886
"1872","Penn State Schuylkill","Pennsylvania","PA","Public","4 Year",8618,14468,23086,23028,31646
"1873","Penn State Shenango","Pennsylvania","PA","Public","4 Year",NA,13342,13342,21366,21366
"1874","Penn State University Park","Pennsylvania","PA","Public","4 Year",11570,18454,30024,34858,46428
"1875","Penn State Wilkes-Barre","Pennsylvania","PA","Public","4 Year",NA,13586,13586,21770,21770
"1876","Penn State Worthington Scranton","Pennsylvania","PA","Public","4 Year",NA,14832,14832,23028,23028
"1877","Penn State York","Pennsylvania","PA","Public","4 Year",NA,14468,14468,23028,23028
"1878","Pennsylvania Academy of the Fine Arts","Pennsylvania","PA","Private","4 Year",NA,38878,38878,38878,38878
"1879","Pennsylvania College of Art and Design","Pennsylvania","PA","Private","4 Year",NA,25850,25850,25850,25850
"1880","Pennsylvania College of Health Sciences","Pennsylvania","PA","Private","4 Year",NA,27662,27662,27662,27662
"1881","Pennsylvania College of Technology","Pennsylvania","PA","Public","4 Year",11544,16740,28284,23880,35424
"1882","Pennsylvania Highlands Community College","Pennsylvania","PA","Public","2 Year",NA,5820,5820,11460,11460
"1883","Pennsylvania Institute of Technology","Pennsylvania","PA","Private","2 Year",6000,13365,19365,13365,19365
"1884","Pensacola State College","Florida","FL","Public","2 Year",NA,3137,3137,12593,12593
"1885","Pepperdine University","California","CA","Private","4 Year",15320,53932,69252,53932,69252
"1886","Peru State College","Nebraska","NE","Public","4 Year",8010,7452,15462,7482,15492
"1887","Pfeiffer University","North Carolina","NC","Private","4 Year",11226,30234,41460,30234,41460
"1888","Philander Smith College","Arkansas","AR","Private","4 Year",8250,12414,20664,12414,20664
"1889","Phillips Community College of the University of Arkansas","Arkansas","AR","Public","2 Year",NA,2910,2910,4740,4740
"1890","Phillips School of Nursing at Mount Sinai Beth Israel","New York","NY","Private","2 Year",NA,37445,37445,37445,37445
"1891","Phoenix College","Arizona","AZ","Public","2 Year",NA,2580,2580,9810,9810
"1892","Piedmont College","Georgia","GA","Private","4 Year",10168,25920,36088,25920,36088
"1893","Piedmont Community College","North Carolina","NC","Public","2 Year",NA,2544,2544,8688,8688
"1894","Piedmont International University","North Carolina","NC","Private","4 Year",7810,10970,18780,10970,18780
"1895","Piedmont Technical College","South Carolina","SC","Public","2 Year",NA,5495,5495,7985,7985
"1896","Piedmont Virginia Community College","Virginia","VA","Public","2 Year",NA,4930,4930,10858,10858
"1897","Pierce College","Washington","WA","Public","2 Year",NA,4477,4477,5112,5112
"1898","Pierpont Community and Technical College","West Virginia","WV","Public","2 Year",9980,4918,14898,11472,21452
"1899","Pikes Peak Community College","Colorado","CO","Public","2 Year",NA,4812,4812,18672,18672
"1900","Pillar College","New Jersey","NJ","Private","4 Year",NA,21700,21700,21700,21700
"1901","Pima Community College","Arizona","AZ","Public","2 Year",NA,2670,2670,9315,9315
"1902","Pine Manor College","Massachusetts","MA","Private","4 Year",13830,31660,45490,31660,45490
"1903","Pine Technical & Community College","Minnesota","MN","Public","2 Year",NA,5093,5093,9687,9687
"1904","Pinnacle Career Institute: Kansas City","Missouri","MO","For Profit","2 Year",NA,17774,17774,17774,17774
"1905","Pitt Community College","North Carolina","NC","Public","2 Year",NA,2354,2354,8114,8114
"1906","Pittsburg State University","Kansas","KS","Public","4 Year",7778,7298,15076,18642,26420
"1907","Pittsburgh Institute of Aeronautics","Pennsylvania","PA","Private","2 Year",NA,15990,15990,15990,15990
"1908","Pittsburgh Institute of Mortuary Science","Pennsylvania","PA","Private","2 Year",NA,15325,15325,15325,15325
"1909","Pitzer College","California","CA","Private","4 Year",16844,54056,70900,54056,70900
"1910","Plymouth State University","New Hampshire","NH","Public","4 Year",11100,14099,25199,22769,33869
"1911","Point Loma Nazarene University","California","CA","Private","4 Year",10450,35700,46150,35700,46150
"1912","Point Park University","Pennsylvania","PA","Private","4 Year",12200,31450,43650,31450,43650
"1913","Point University","Georgia","GA","Private","4 Year",7900,20600,28500,20600,28500
"1914","Polk State College","Florida","FL","Public","2 Year",NA,3367,3367,12272,12272
"1915","Pomona College","California","CA","Private","4 Year",16716,52780,69496,52780,69496
"1916","Pontifical Catholic University of Puerto Rico",NA,"PR","Private","4 Year",1374,5490,6864,5490,6864
"1917","Pontifical College Josephinum","Ohio","OH","Private","4 Year",10600,23285,33885,23285,33885
"1918","Porterville College","California","CA","Public","2 Year",NA,1404,1404,7824,7824
"1919","Portland Community College","Oregon","OR","Public","2 Year",NA,5408,5408,11483,11483
"1920","Portland State University","Oregon","OR","Public","4 Year",10428,9105,19533,27060,37488
"1921","Post University","Connecticut","CT","For Profit","4 Year",11600,31050,42650,31050,42650
"1922","Potomac State College of West Virginia University","West Virginia","WV","Public","2 Year",8524,4488,13012,11376,19900
"1923","Prairie State College","Illinois","IL","Public","2 Year",NA,5220,5220,13830,13830
"1924","Prairie View A&M University","Texas","TX","Public","4 Year",8925,10533,19458,24843,33768
"1925","Pratt Community College","Kansas","KS","Public","2 Year",5641,3428,9069,3728,9369
"1926","Pratt Institute","New York","NY","Private","4 Year",12622,51870,64492,51870,64492
"1927","Presbyterian College","South Carolina","SC","Private","4 Year",10480,38660,49140,38660,49140
"1928","Prescott College","Arizona","AZ","Private","4 Year",7700,31485,39185,31485,39185
"1929","Presentation College","South Dakota","SD","Private","4 Year",9578,19995,29573,19995,29573
"1930","Prince George's Community College","Maryland","MD","Public","2 Year",NA,4700,4700,10610,10610
"1931","Princeton University","New Jersey","NJ","Private","4 Year",16290,49330,65620,49330,65620
"1932","Principia College","Illinois","IL","Private","4 Year",11610,29470,41080,29470,41080
"1933","Providence Christian College","California","CA","Private","4 Year",9694,29372,39066,29372,39066
"1934","Providence College","Rhode Island","RI","Private","4 Year",14700,50390,65090,50390,65090
"1935","Pueblo Community College","Colorado","CO","Public","2 Year",NA,5968,5968,19425,19425
"1936","Purdue University","Indiana","IN","Public","4 Year",10030,9992,20022,28794,38824
"1937","Purdue University Northwest","Indiana","IN","Public","4 Year",7640,7686,15326,17368,25008
"1938","Queens University of Charlotte","North Carolina","NC","Private","4 Year",10860,34684,45544,34684,45544
"1939","Quincy College","Massachusetts","MA","Public","2 Year",NA,7100,7100,7100,7100
"1940","Quincy University","Illinois","IL","Private","4 Year",10500,28462,38962,28462,38962
"1941","Quinebaug Valley Community College","Connecticut","CT","Public","2 Year",NA,4399,4399,13167,13167
"1942","Quinnipiac University","Connecticut","CT","Private","4 Year",14540,47960,62500,47960,62500
"1943","Quinsigamond Community College","Massachusetts","MA","Public","2 Year",NA,6720,6720,12900,12900
"1944","Rabbi Jacob Joseph School","New Jersey","NJ","Private","4 Year",3300,14400,17700,14400,17700
"1945","Rabbinical Academy Mesivta Rabbi Chaim Berlin","New York","NY","Private","4 Year",3000,12800,15800,12800,15800
"1946","Rabbinical College Beth Shraga","New York","NY","Private","4 Year",5700,13550,19250,13550,19250
"1947","Rabbinical College Bobover Yeshiva B'nei Zion","New York","NY","Private","4 Year",4500,7750,12250,7750,12250
"1948","Rabbinical College of America","New Jersey","NJ","Private","4 Year",7500,11500,19000,11500,19000
"1949","Rabbinical College of Long Island","New York","NY","Private","4 Year",4900,11575,16475,11575,16475
"1950","Rabbinical College of Ohr Shimon Yisroel","New York","NY","Private","4 Year",1600,13500,15100,13500,15100
"1951","Rabbinical College of Telshe","Ohio","OH","Private","4 Year",3000,10800,13800,10800,13800
"1952","Rabbinical Seminary of America","New York","NY","Private","4 Year",6000,9800,15800,9800,15800
"1953","Radford University","Virginia","VA","Public","4 Year",9406,11210,20616,22845,32251
"1954","Rainy River Community College","Minnesota","MN","Public","2 Year",4280,5325,9605,6507,10787
"1955","Ramapo College of New Jersey","New Jersey","NJ","Public","4 Year",12450,14374,26824,23715,36165
"1956","Randall University","Oklahoma","OK","Private","4 Year",7704,14090,21794,14090,21794
